clase;medio;texto_limpio
Homicidi Consumat;Ara;detenen dona matat familiar pont vilomara barcelonaels detingut dona matat dijous pont vilomara bages presumpta autora crim anys familiar victima cap nou mati agents rebut avis adrecat casa municipi dona anys morta indicis criminalitat segons acn trobat victima habitatge urbanitzacio marquet paradis ganivetada coll agents comencat buscar autora homicidi zona boscosa envolta urbanitzacio pogut localitzar despres detenir posara dona disposicio judicial sigut segona mort violenta catalunya hores perque tambe informat investiguen circumstancies mort home matinada santa coloma gramenet rebut avis passada mitjanit deia dues persones greument ferides baralla tingut lloc centre santa coloma sistema emergencies mediques sem desplacat certificat mort lesions patides ferit sigut traslladat hospital greu
Organitzacions i grups criminals;Ara;cop clan familiar mina atemoria veins barcelonaun clan familiar arrelat historicament barri mina sant adria besos atemoria veins membres implicats robatoris violents baralles armes foc objectiu control dela delinquencia zona besos tambe tenien plantacions marihuana detingut persones formen part clan nou dirigien llista delictes atribueixen llarga organitzacio criminal robatoris violents forca tinenca il licita armes intent homicidi aixi usurpacio funcions publiques immobles desplegat macrooperatiu mes agents part escorcolls mina tambe fet diversos municipis arribaven vincles clan tenia control besos anys operacio arrencat quarts sis mati actuar clan familiar situat mina catalana feia temps investigava grup delictes concrets atacat estructura global cuspide segons assegurat cap area central investigacio patrimoni cos subinspector jonathan herrera cas derivat dispositiu mig miler agents comencar sis mesos dues unitats multireincidents badalona confluir investigacions finalitat desarticular clan tenia estructura familiar
Homicidi Consumat;Ara;detinguts homes relacionats mort santa coloma gramenet barcelonaels detenir ahir tarda persones relacionades ambla mort matinada santa coloma gramenet rebre avis passada mitjanit deia dues persones greument ferides baralla tingut lloc centre ciutat agents carrec investigacio homes relacionats fets anys havien refugiat local ocupat proxim despres agressions cap hores homes quedar detinguts passaran disposicio judicial properes hores sistema emergencies mediques sem certificar mort implicats baralla lesions patides ferit traslladat hospital greu ajuntament santa coloma gramenet explicar implicats disputa tenien mes antecedents delictes greus crim santa coloma quart menys setmana area metropolitana barcelona despres homicidis barcelona cornella llobregat hospitalet
Agressions sexuals i Abusos sexuals;El Periódico;penes anys violar gravar menor pineda audiencia barcelonaha condemnat penes anys mig anys mig presoels acusats violar grup menor gravar hoen masia abandonada pineda mar barcelona
Homicidi Consumat;Ara;detinguda menor seria mare nado trobat mort carrer barcelona barcelonaels detingut noia menor edat seria mare nado trobat mort mati carrer barcelona hipotesi investigadors arrestat menor despres hores hagues rebut avis localitzat cos nounat carrer districte nou barris sospita detinguda hauria abandonat nado despres part sistema emergencies mediques sem arribat nomes pogut certificar mort noia passara disposicio fiscalia menors pendents resultats autopsia nounat jutjat instruccio numero barcelona guardia fet aixecament cadaver nado tambe obert investigacio
Falsedats documentals;La Vanguardia;detenido abogado acusado falsificar documentos medicos losmossos esquadrade region policial central arrestado unabogadoque presuntamente habria falsificadodocumentos medicospara prestaciones economicas porinvalidezpara clientes hombre paso disposicion judicial julio quedadoen libertad fianzaa espera juicio acusa presunto delito reiterado defalsedad documental estafaprocesal ofraudea seguridad social representados engano involucradopersonal medico abogado habria falsificado susfirmasprofesionales certificar documentos sanitarios profesional altero documentacion personas explicado cuerpo comunicado investigacion inicio ano peticion lafiscalia area manresay conocimiento juzgado instruccion numero capital delbages declaracion clientes contrataron letrado representarlos losprocedimientos abiertosante seguridad social unasprestaciones economicaspor supuestaspatologias manifestaron abogado gestionaba documentacion medica presentaba juzgado
Estafes;La Vanguardia;detenido abogado acusado falsificar documentos medicos losmossos esquadrade region policial central arrestado unabogadoque presuntamente habria falsificadodocumentos medicospara prestaciones economicas porinvalidezpara clientes hombre paso disposicion judicial julio quedadoen libertad fianzaa espera juicio acusa presunto delito reiterado defalsedad documental estafaprocesal ofraudea seguridad social representados engano involucradopersonal medico abogado habria falsificado susfirmasprofesionales certificar documentos sanitarios profesional altero documentacion personas explicado cuerpo comunicado investigacion inicio ano peticion lafiscalia area manresay conocimiento juzgado instruccion numero capital delbages declaracion clientes contrataron letrado representarlos losprocedimientos abiertosante seguridad social unasprestaciones economicaspor supuestaspatologias manifestaron abogado gestionaba documentacion medica presentaba juzgado
Homicidi Temptativa;Ara;misteri intent execucio home sant andreu barcelonaera diumenge mati sentir trets punt centric barri sant andreu barcelona tiroteig plena llum mig carrer placeta sant francesc coll trets rebre boca cano home mitjana edat testimonis veure feia dues passes comencava perdre sang coll queia estes terra quedar descobert impacte bala esquena pistoler persones definien home mes fugir ambulancia endur ferit critic hospital vall hebron seguida tambe desplegar dispositiu acordonar zona esbrinar intentat executar home trets tiroteig passar abril passat ferit rebre trets fill menor edat dona tocar portal casa impacte projectils gairebe costar vida sobreviure home patit lesions irreversibles recupera mesos despres continua oberta investigacio policial judicial perque identificat home disparar trets consultats limiten dir cas obert donar mes detalls fonts policials apunten treballen identificar pistoler aclarir motivacio intent assassinat mante misteri pendent resoldre
Contra els recursos naturals i el medi ambient;La Vanguardia;denunciado penalmente hombre destruccion nidos especie protegida golondrina agentes rurales denunciado penalmente fiscalia ambiente vecino mollet valles barcelona presunto delito relativo proteccion flora fauna animales domesticos destruccion nidos tipo golondrina conocida avion comun nombre cientifico delichon urbicum mayo agentes comisaria mollet valles observaron persona rompia palo nidos voladizo cubierta edificio localidad
Falsedats documentals;La Vanguardia;mujeres detenidas hacerse pasar examen carne conducir detuvieron viernes tarragona mujeres anos pasar examen teorico carne conducir examinadores avisaron detectar mujer acredito documento identidad fotografia parecia persona agentes hablaron mujer hacerse pasar persona aparecia dni diciendo datos constaban parecia fotografia dni operacion estetica
Organitzacions i grups criminals;La Vanguardia;desmantelan vallirana organizacion internacional dedicada trafico marihuana lapolicia nacionalha detenido personas desmantelado unaorganizacion criminal internacionaldedicada altrafico marihuanaque tenia centro operaciones envallirana barcelona llobregat investigaciones iniciaron marzo conocimiento podia existir grupo investigadores comprobaron puntos comarca habiatrafico marihuanaque provenia punto ubicado localidad llobregat
Lesions;La Vanguardia;identificada voz agentes implicados agresion racista sant feliu sasserra sargentosde area recursos operativos arro region policial central hanidentificado voces agentesimplicados laagresion racistaocurrida enero san feliu sasserra bages inicio agentes habian reconocian voces subordinados semanas concretamente junio julio volvieron comparecer division asuntos internos cuerpo escuchar audio pudieronidentificar voz agentes avanzado eldiario confirmado acn fuentes cercanas investigacion
Contra la salut pública;La Vanguardia;detenidos plantacion marihuana desmantelada casa calafell laguardia civilhadetenido personasy desmantelado unaplantacion plantas marihuanaen interior vivienda unifamiliar urbanizacion mel calafell tarragona responsables plantacion unapareja vecinos sitges barcelona quealquilaron casa euros mescon unico objetivo cultivar droga cuidador plantacion situacion irregular vivia pequena habitacion inmueble
Detenció il·legal;La Vanguardia;detenido barcelona hombre retener expareja agredirla sexualmente hombredetenidoenbarcelonaeste jueves porsecuestraryretenerdurante suexparejase enfrentara finalmente causa detencion ilegal maltrato agresion sexual victima denuncio delito informado tribunal superior justicia catalunya tsjc detencion victima manifesto agentes expareja presentado domicilio acceder piso retuvo agrediendola fisica sexualmente hombre rompio movil pudiera comunicar persona
